2024-11-25T06:58:14+03:00
Running /home/dym/CLionProjects/ER-Telecom_qualification/cmake-build-release/net_utils/bench/ER_Telecom_qualif-bench-DnsCacheImpl
Run on (24 X 5159.77 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x12)
  L1 Instruction 32 KiB (x12)
  L2 Unified 512 KiB (x12)
  L3 Unified 32768 KiB (x2)
Load Average: 10.29, 8.04, 6.48
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                                   Time             CPU   Iterations      cache       r_it         rs       w_it         ws
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/10000/50000/500         1317 ns         1289 ns       547297        10k        50k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/10000/100000/500        1333 ns         1293 ns       545179        10k       100k          2        500         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/10000/100/1000          1341 ns         1317 ns       543149        10k        100          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/10000/50000/1000        1355 ns         1312 ns       542999        10k        50k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/10000/100000/1000       1364 ns         1306 ns       542750        10k       100k          2         1k         22
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100/100           1305 ns         1303 ns       534528        10k        100         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/50000/100         1589 ns         1306 ns       545692        10k        50k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100000/100        2032 ns         1301 ns       485541        10k       100k         12        100         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100/500           1325 ns         1317 ns       546801        10k        100         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/50000/500         1590 ns         1279 ns       545810        10k        50k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100000/500        1922 ns         1304 ns       548854        10k       100k         12        500         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100/1000          1329 ns         1318 ns       541952        10k        100         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/50000/1000        1578 ns         1284 ns       560712        10k        50k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/50000/100000/1000       1997 ns         1301 ns       547527        10k       100k         12         1k         12
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100/100           1317 ns         1300 ns       541925        10k        100         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/50000/100         2544 ns         1268 ns       565535        10k        50k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100000/100        3765 ns         1292 ns       569255        10k       100k         22        100          2
DnsCacheBench<aux::DnsCacheImplTypeC<DnsCacheImplType::lru_priority_mutex>>/priority_mutex/10000/90000/100/500           1304 ns         1286 ns       547611        10k        100         22        500          2
